variable,question,Touchpoint,Construct,Dashboard Role
SERIAL,Serial ID,,Other,Other
PROV,Provinsi,,Other,Other
KABKOTA,Kab / Kota,,Other,Other
CABANG,NAMA KANTOR CABANG,,Other,Other
S1,Jenis kelamin,,Demographic,Filter
S2_1,Berapa tahun usia Anda? __ tahun,,Demographic,Filter
S2_2,Range Usia,,Demographic,Filter
S3,Apakah Bapak/Ibu merupakan nasabah (pemilik rekening) di Bank XYZ?,,Demographic,Filter
S4,Sudah berapa lamakah Bapak/Ibu menjadi nasabah Bank XYZ?,,Demographic,Filter
S5,Apakah Bapak/Ibu atau salah satu anggota keluarga ada yang bekerja di bank?,,Demographic,Filter
S6,"Dari tabel di bawah ini, masuk ke dalam kategori apakah Bapak/Ibu saat ini?",,Demographic,Filter
S_S6_10,Others,,Other,Other
S7,"Seberapa sering Bapak/Ibu melakukan transaksi dengan Bank XYZ, baik secara online dengan mobile banking atau datang ke kantor cabang Bank XYZ ?",,Demographic,Filter
A1A,Bank mana saja yang saat ini masih aktif Bapak/Ibu gunakan?,,Usage,Other
S_A1A_23,Others.1,,Other,Other
S_A1A_24,Others.2,,Other,Other
A1AX,Bank mana saja yang saat ini masih aktif Bapak/Ibu gunakan? SELAIN XYZ,,Usage,Other
S_A1AX_23,Others.3,,Other,Other
S_A1AX_24,Others.4,,Other,Other
A1B,Bank manakah yang merupakan rekening utama untuk Bapak/Ibu menyimpan dana?,,Usage,Other
A1XX,Kompetitor terpilih,,Usage,Other
A1C,"Bank manakah yang merupakan rekening utama untuk Bapak/Ibu bertransaksi (belanja, transfer, dsb)?",,Usage,Other
A1X,Kompetitor terpilih.1,,Usage,Other
A2,Apa tujuan Anda pertama kali membuka rekening di Bank XYZ ? Apa lagi? Apa lagi?,,Usage,Other
S_A2_6,Others.5,,Other,Other
B3,Mengapa anda menggunakan Bank {0} sebagai bank yang paling sering digunakan untuk bertransaksi? Apa lagi? Apa lagi?,,Usage,Other
S_B3_11,Others.6,,Other,Other
B4,Mengapa anda menggunakan Bank {0} sebagai bank yang digunakan untuk menyimpan dana utama anda? Apa lagi? Apa lagi?,,Usage,Other
S_B4_13,Others.7,,Other,Other
KOMP,Kompetitor terpilih.2,,Other,Other
B1,Apakah motivasi Anda dalam membuka rekening tabungan di bank?,,Usage,Other
S_B1_13,Others.8,,Other,Other
T_C1A_1,Bank yang terkenal/terkemuka,Brand Image,Other,Other
T_C1A_2,Bank yang digunakan banyak orang,Brand Image,Other,Other
T_C1A_3,Bank yang membuat saya merasa aman,Brand Image,Other,Other
T_C1A_4,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini,Brand Image,Other,Other
T_C1A_5,Bank yang memiliki banyak ATM,Brand Image,Other,Other
T_C1A_6,Bank yang memiliki banyak kantor cabang,Brand Image,Other,Other
T_C1A_7,Bank yang memiliki reputasi yang baik,Brand Image,Other,Other
T_C1A_8,Bank yang menawarkan produk/layanan yang lengkap,Brand Image,Other,Other
T_C1A_9,Menyediakan layanan online terkait dengan informasi produk,Brand Image,Other,Other
T_C1A_10,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran",Brand Image,Other,Other
T_C1A_11,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya,Brand Image,Other,Other
T_C1A_12,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain,Brand Image,Other,Other
T_C1A_13,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya,Brand Image,Other,Other
T_C1A_14,Bank yang membuat saya merasa prestigious/bergengsi,Brand Image,Other,Other
T_C1A_15,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun,Brand Image,Other,Other
T_C1A_16,Bank yang mempermudah bisnis saya,Brand Image,Other,Other
T_C1A_17,Bank yang memberikan banyak kemudahan,Brand Image,Other,Other
T_C1A_18,Bank yang memiliki kinerja bisnis yang baik,Brand Image,Other,Other
T_C1A_19,Bank yang selalu menggunakan teknologi terbaru,Brand Image,Other,Other
T_C1A_20,Bank yang dimiliki oleh negara,Brand Image,Other,Other
T_C1A_21,Bank swasta terbesar di Indonesia,Brand Image,Other,Other
T_C1A_22,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards)",Brand Image,Other,Other
T_C1A_23,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap",Brand Image,Other,Other
T_C1A_24,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja,Brand Image,Other,Other
T_C1B_2,Bank yang terkenal/terkemuka - XYZ,Brand Image,Other,Other
T_C1B_5,Bank yang digunakan banyak orang - XYZ,Brand Image,Other,Other
T_C1B_8,Bank yang membuat saya merasa aman - XYZ,Brand Image,Other,Other
T_C1B_11,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini - XYZ,Brand Image,Other,Other
T_C1B_14,Bank yang memiliki banyak ATM - XYZ,Brand Image,Other,Other
T_C1B_17,Bank yang memiliki banyak kantor cabang - XYZ,Brand Image,Other,Other
T_C1B_20,Bank yang memiliki reputasi yang baik - XYZ,Brand Image,Other,Other
T_C1B_23,Bank yang menawarkan produk/layanan yang lengkap - XYZ,Brand Image,Other,Other
T_C1B_26,Menyediakan layanan online terkait dengan informasi produk - XYZ,Brand Image,Other,Other
T_C1B_29,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran - XYZ",Brand Image,Other,Other
T_C1B_32,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya - XYZ,Brand Image,Other,Other
T_C1B_35,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - XYZ,Brand Image,Other,Other
T_C1B_38,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya - XYZ,Brand Image,Other,Other
T_C1B_41,Bank yang membuat saya merasa prestigious/bergengsi - XYZ,Brand Image,Other,Other
T_C1B_44,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun - XYZ,Brand Image,Other,Other
T_C1B_47,Bank yang mempermudah bisnis saya - XYZ,Brand Image,Other,Other
T_C1B_50,Bank yang memberikan banyak kemudahan - XYZ,Brand Image,Other,Other
T_C1B_53,Bank yang memiliki kinerja bisnis yang baik - XYZ,Brand Image,Other,Other
T_C1B_56,Bank yang selalu menggunakan teknologi terbaru - XYZ,Brand Image,Other,Other
T_C1B_59,Bank yang dimiliki oleh negara - XYZ,Brand Image,Other,Other
T_C1B_62,Bank swasta terbesar di Indonesia - XYZ,Brand Image,Other,Other
T_C1B_65,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards) - XYZ",Brand Image,Other,Other
T_C1B_68,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap - XYZ",Brand Image,Other,Other
T_C1B_71,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - XYZ,Brand Image,Other,Other
T_C1B_3,Bank yang terkenal/terkemuka - kompetitor,Brand Image,Other,Other
T_C1B_6,Bank yang digunakan banyak orang - kompetitor,Brand Image,Other,Other
T_C1B_9,Bank yang membuat saya merasa aman - kompetitor,Brand Image,Other,Other
T_C1B_12,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini - kompetitor,Brand Image,Other,Other
T_C1B_15,Bank yang memiliki banyak ATM - kompetitor,Brand Image,Other,Other
T_C1B_18,Bank yang memiliki banyak kantor cabang - kompetitor,Brand Image,Other,Other
T_C1B_21,Bank yang memiliki reputasi yang baik - kompetitor,Brand Image,Other,Other
T_C1B_24,Bank yang menawarkan produk/layanan yang lengkap - kompetitor,Brand Image,Other,Other
T_C1B_27,Menyediakan layanan online terkait dengan informasi produk - kompetitor,Brand Image,Other,Other
T_C1B_30,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran - kompetitor",Brand Image,Other,Other
T_C1B_33,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya - kompetitor,Brand Image,Other,Other
